Order number,Ordered for,NBN Co Location ID,Date ordered,Order Planned Completion Date,PWO,CWO,nbnreasoncode,nbnappend,Call Received,Truck Rolls,SP status, Completion,Percentage Completetion
ORD410001510868,ASI000000220777,LOC000088828288,18/03/2019 16:17,27/03/2019 12:00,WOR700039419785,WOR700039419802,FINISHED,27/03/2019 12:00,,Yes,Complete,1,
ORD420020626947,ASI000000000026,LOC000089908977,22/03/2019 11:29,27/03/2019 11:00,WOR700039827719,WOR700039827742,WITHIN-3-DAYS-PRE-CALL-CANCELLATION,27/03/2019 13:00,,Yes,Cancelled,0,
ORD420020494820,ASI000000220777,LOC000090377414,19/03/2019 14:13,27/03/2019 12:00,WOR700039527489,WOR700039527491,EU-BODYCORP-PERMISSION,27/03/2019 12:00,Yes,Yes,In progress - Pending,0,
ORD410001502713,ASI000000220777,LOC000090390310,15/03/2019 15:15,29/03/2019 12:00,WOR700039237919,WOR700039237926,PHY-INST-COMP,29/03/2019 12:00,,Yes,Complete,1,
ORD410001502848,ASI000000220777,LOC000090390310,15/03/2019 15:40,29/03/2019 12:00,WOR700039241788,WOR700039241800,ON-APPROACH-PRE-CALL-CANCELLATION,29/03/2019 12:00,Yes,Yes,In progress - Pending,0,
ORD420020004073,ASI000000220777,LOC000090905701,7/03/2019 17:14,27/03/2019 12:00,WOR700038581609,WOR700038581613,FINISHED,27/03/2019 12:00,,Yes,Complete,1,
ORD420020309709,ASI000000001074,LOC000090954348,14/03/2019 19:28,28/03/2019 12:00,WOR700039164365,WOR700039164377,FINISHED,28/03/2019 12:00,,Yes,Complete,1,
ORD420020433816,ASI000000000026,LOC000090954348,18/03/2019 12:56,30/03/2019 12:00,WOR700039389765,WOR700039389796,WITHIN-3-DAYS-PRE-CALL-CANCELLATION,30/03/2019 12:00,,,In progress - Pending,0,
ORD420020369210,ASI000000000035,LOC000092588744,16/03/2019 4:06,28/03/2019 17:00,WOR700039287517,WOR700040381240,PHY-INST-COMP,28/03/2019 17:00,,Yes,Complete,1,
ORD420020389192,ASI000000000035,LOC000092588744,16/03/2019 17:34,29/03/2019 12:00,WOR700039329428,WOR700039329437,ORDER-CAN,29/03/2019 12:00,,,Cancelled,0,
ORD420020447699,ASI000000000035,LOC000092823937,18/03/2019 18:54,29/03/2019 12:00,WOR700039444834,WOR700039444847,ORDER-CAN,29/03/2019 12:00,,,Cancelled,0,
ORD420020656816,ASI000000000035,LOC000092823937,22/03/2019 19:18,1/04/2019 17:00,WOR700039897851,WOR700039897867,ASSIGNED,1/04/2019 17:00,,,In progress,0,
ORD410001443660,ASI000000220777,LOC000094253183,26/02/2019 15:35,25/03/2019 17:00,WOR700038838426,WOR700038838435,EU-DECLINE-CONNECTION,25/03/2019 17:00,Yes,Yes,Cancelled,0,
ORD420020190026,ASI000000000035,LOC000094253183,12/03/2019 18:40,25/03/2019 17:00,WOR700038951757,WOR700038951761,FINISHED,25/03/2019 17:00,,Yes,Complete,1,
ORD420020548574,ASI000000000026,LOC000094458845,20/03/2019 12:25,27/03/2019 17:00,WOR700039629099,WOR700039629109,FINISHED,27/03/2019 17:00,,Yes,Complete,1,
ORD420020640979,ASI000000000035,LOC000094458845,22/03/2019 14:25,28/03/2019 17:00,WOR700039854992,WOR700039855005,FINISHED,28/03/2019 17:00,Yes,Yes,Complete,1,
ORD420020690686,ASI000000001074,LOC000094518854,23/03/2019 11:37,29/03/2019 17:00,WOR700039936857,WOR700039936861,ON-APPROACH-PRE-CALL-CANCELLATION,29/03/2019 17:30,Yes,Yes,In progress - Pending,0,
ORD420020478577,ASI000000000026,LOC000095112091,19/03/2019 5:49,26/03/2019 12:00,WOR700039476359,WOR700039476363,FINISHED-NIA,26/03/2019 12:30,Yes,Yes,In progress - Pending,0,
ORD420020573503,ASI000000000026,LOC000095112091,21/03/2019 12:57,28/03/2019 17:00,WOR700039717803,WOR700039717819,FINISHED,28/03/2019 17:30,Yes,Yes,Complete,1,
ORD420020537475,ASI000000000026,LOC000095209422,20/03/2019 5:41,27/03/2019 17:00,WOR700039603178,WOR700039603204,FINISHED,27/03/2019 18:00,,Yes,Complete,1,
ORD420020560404,ASI000000000026,LOC000095209422,21/03/2019 6:12,28/03/2019 12:00,WOR700039681607,WOR700039681611,EU-DECLINE-CONNECTION,28/03/2019 13:00,Yes,Yes,In progress,0,
ORD420020329442,ASI000000000035,LOC000095927116,15/03/2019 11:46,26/03/2019 12:00,WOR700039211050,WOR700039211078,FINISHED-NIA,26/03/2019 12:00,Yes,Yes,In progress,0,
ORD420020398823,ASI000000220777,LOC000098808406,17/03/2019 11:00,29/03/2019 12:00,WOR700039337067,WOR700039337079,FINISHED,29/03/2019 13:00,,Yes,Complete,1,
ORD420020488219,ASI000000000035,LOC000098808406,19/03/2019 11:07,29/03/2019 17:00,WOR700039499260,WOR700039499273,ORDER-CAN,29/03/2019 19:00,,,Cancelled,0,
ORD420019681969,ASI000000000035,LOC000098928786,27/02/2019 5:42,28/03/2019 12:00,WOR700037776572,WOR700037776586,FINISHED,28/03/2019 12:00,,Yes,Complete,1,
ORD420019682108,ASI000000000035,LOC000098928786,27/02/2019 5:51,27/03/2019 17:00,WOR700037776731,WOR700037776749,FINISHED,27/03/2019 17:00,,Yes,Complete,1,
ORD420019682112,ASI000000000035,LOC000098928786,27/02/2019 5:52,27/03/2019 17:00,WOR700037776712,WOR700037776720,FINISHED,27/03/2019 17:00,Yes,Yes,Complete,1,
ORD420019757250,ASI000000220777,LOC000100306088,28/02/2019 19:53,27/03/2019 12:00,WOR700037989164,WOR700037989172,FINISHED,27/03/2019 13:00,,Yes,Complete,1,
ORD420019985453,ASI000000000035,LOC000101645450,7/03/2019 8:49,28/03/2019 12:00,WOR700038517528,WOR700038517537,FINISHED,28/03/2019 12:00,,Yes,Complete,1,
ORD420020031592,ASI000000001074,LOC000103235274,8/03/2019 13:33,30/03/2019 17:00,WOR700038653960,WOR700038653973,WEATHER-WET-WIND,30/03/2019 17:00,Yes,Yes,In progress - Pending,0,
ORD420020186691,ASI000000001074,LOC000104593647,12/03/2019 17:22,25/03/2019 17:00,WOR700038942088,WOR700038942090,FINISHED-NIA,25/03/2019 17:00,Yes,Yes,In progress,0,
ORD420020444396,ASI000000220282,LOC000104593647,18/03/2019 17:28,28/03/2019 17:00,WOR700039432641,WOR700039432660,FINISHED-NIA,28/03/2019 17:00,Yes,Yes,In progress - Pending,0,
ORD420019916017,ASI000000000035,LOC000104910810,5/03/2019 16:49,1/04/2019 17:00,WOR700038356109,WOR700038356113,ASSIGNED,1/04/2019 18:00,,,In progress,0,
ORD420019812897,ASI000000000035,LOC000105161118,2/03/2019 13:14,28/03/2019 17:00,WOR700038138221,WOR700038138232,WEATHER-WET-WIND,28/03/2019 18:00,,Yes,In progress,0,
ORD420020698819,ASI000000220777,LOC000110549680,23/03/2019 15:37,1/04/2019 12:00,WOR700039958150,WOR700039958166,ASSIGNED,1/04/2019 12:00,,,In progress,0,
ORD420020699616,ASI000000220777,LOC000110549680,23/03/2019 16:04,1/04/2019 12:00,WOR700039960217,WOR700039960229,ASSIGNED,1/04/2019 12:00,,,In progress,0,
ORD420019697873,ASI000000220282,LOC000126459777,27/02/2019 15:05,28/03/2019 12:00,WOR700037895143,WOR700037895158,FINISHED-NIA,28/03/2019 13:00,Yes,Yes,In progress,0,
ORD410001418861,ASI000000001094,LOC000126722503,18/02/2019 11:35,28/03/2019 12:00,WOR700036991824,WOR700036991830,EU-ACCESS-RESTRICTIONS,28/03/2019 13:00,Yes,Yes,In progress - Pending,0,
ORD420020583003,ASI000000001094,LOC000126722503,21/03/2019 15:16,28/03/2019 17:00,WOR700039740860,WOR700039740873,EU-ACCESS-RESTRICTIONS,28/03/2019 18:00,Yes,Yes,In progress - Pending,0,
ORD410001442576,ASI000000220777,LOC000126764330,26/02/2019 11:55,1/04/2019 12:00,WOR700038293192,WOR700038293205,ASSIGNED,1/04/2019 13:00,,,In progress,0,
ORD420020495784,ASI000000000035,LOC000151811925,19/03/2019 14:31,27/03/2019 17:00,WOR700039530970,WOR700039530989,WORKFORCE-ADDITIONAL-SKILLS,27/03/2019 19:00,Yes,Yes,In progress,0,
ORD420020244778,ASI000000001074,LOC000153439677,13/03/2019 18:47,28/03/2019 12:00,WOR700039057570,WOR700039057589,WITHIN-3-DAYS-PRE-CALL-CANCELLATION,28/03/2019 13:00,,,In progress,0,
ORD420020287878,ASI000000001074,LOC000153439677,14/03/2019 7:41,29/03/2019 17:00,WOR700039088140,WOR700039088155,FINISHED-NIA,29/03/2019 18:00,Yes,Yes,In progress,0,
ORD420020644112,ASI000000000035,LOC000154175552,22/03/2019 15:27,29/03/2019 17:00,WOR700039863735,WOR700039863742,COMMENCE-WORK,29/03/2019 17:00,,,In progress,0,
ORD410001494226,ASI000000220777,LOC000155972806,13/03/2019 13:01,28/03/2019 12:00,WOR700039013714,WOR700039013722,BK-CAN-CUST,28/03/2019 12:00,,,Cancelled,0,
ORD410001511001,ASI000000001094,LOC000157430067,18/03/2019 16:33,26/03/2019 17:00,WOR700039421813,WOR700039421832,PHY-INST-COMP,26/03/2019 18:00,,Yes,Complete,1,
ORD420020582147,ASI000000001094,LOC000157430067,21/03/2019 15:04,28/03/2019 12:00,WOR700039738128,WOR700039738137,FINISHED,28/03/2019 13:00,,Yes,Complete,1,
ORD420020135972,ASI000000000035,LOC000158605029,11/03/2019 17:41,30/03/2019 17:00,WOR700038848417,WOR700038848429,WEATHER-WET-WIND,30/03/2019 17:00,,Yes,In progress - Pending,0,
ORD420020326727,ASI000000000035,LOC000158740929,15/03/2019 10:07,28/03/2019 12:00,WOR700039199603,WOR700039199619,BK-RESCHED-SDP,28/03/2019 12:00,,,In progress,0,
ORD420020330385,ASI000000220777,LOC000158740929,15/03/2019 12:15,28/03/2019 12:00,WOR700039214853,WOR700039214869,BK-RESCHED-SDP,28/03/2019 12:00,,,In progress,0,
ORD420019936474,ASI000000000035,LOC000159075081,6/03/2019 9:59,29/03/2019 17:00,WOR700038409358,WOR700039112389,EU-DECLINE-CONNECTION,29/03/2019 17:00,Yes,Yes,Cancelled,0,
ORD420020225650,ASI000000000026,LOC000167709781,13/03/2019 7:42,26/03/2019 12:00,WOR700038982513,WOR700038982521,EU-BODYCORP-PERMISSION,26/03/2019 12:00,Yes,Yes,In progress,0,
ORD420020302154,ASI000000000035,LOC000167709781,14/03/2019 16:19,28/03/2019 12:00,WOR700039141398,WOR700039141403,EU-TECHNICIAN-REQUIRED,28/03/2019 12:00,Yes,Yes,In progress,0,
ORD420020509278,ASI000000000035,LOC000172997904,19/03/2019 19:32,26/03/2019 17:00,WOR700039574226,WOR700039574235,FINISHED,26/03/2019 20:00,,Yes,Complete,1,
ORD420020519264,ASI000000000035,LOC000172997904,19/03/2019 22:10,26/03/2019 17:00,WOR700039588549,WOR700039588554,FINISHED,26/03/2019 20:00,,Yes,Complete,1,
ORD420020247319,ASI000000220777,LOC100018299605,13/03/2019 19:30,26/03/2019 17:00,WOR700039063696,WOR700039063704,PHY-INST-COMP,26/03/2019 17:00,,Yes,Complete,1,
ORD420020564647,ASI000000220777,LOC100018299605,21/03/2019 9:34,29/03/2019 17:00,WOR700039686946,WOR700039686967,FINISHED-NIA,29/03/2019 17:00,Yes,Yes,In progress,0,
ORD410001562673,ASI000000000035,LOC000130563099,26/03/2019 13:15,1/04/2019 17:00,WOR700040138368,WOR700040138381,ON-TIME,1/04/2019 17:30,,,In progress,0,
ORD410001588305,ASI000000000035,LOC000170574098,26/03/2019 19:57,1/04/2019 17:00,WOR700040203939,WOR700040203941,ON-TIME,1/04/2019 17:00,,,In progress,0,
,,,,,,,,,,,,,
